,79bd5,f6bf0
conv010_5,0,0
conv010_6,0,0
conv010_7,0,0
conv010_8,0,0
conv010_9,0,0
conv010_10,0,0
conv010_11,0,0
conv010_12,0,0
conv010_13,0,0
conv010_14,0,0
conv010_15,0,0
conv010_16,0,0
conv010_17,0,0
conv010_18,0,0
conv010_19,0,0
conv010_20,0,0
conv010_21,0,0
conv010_22,0,0
conv010_23,0,0
conv010_24,0,0
conv010_25,0,0
conv010_26,0,0
conv010_27,0,0
conv010_28,0,0
conv010_29,0,0
conv010_30,0,0
conv010_31,0,0
conv010_32,0,0
conv010_33,0,0
conv010_34,0,0
conv010_35,0,0
conv010_36,0,0
conv010_37,0,0
conv010_38,0,0
conv010_39,0,0
conv010_40,0,0
conv010_41,0,0
conv010_42,0,0
conv010_43,0,0
conv011_0,0,0
conv011_1,0,0
conv011_2,0,0
conv011_3,0,0
conv011_4,0,0
conv011_5,0,0
conv011_6,0,0
conv011_7,0,0
conv011_8,0,0
conv011_9,0,0
conv011_10,0,0
conv011_11,0,0
conv011_12,0,0
conv011_13,0,0
conv011_14,0,0
conv011_15,0,0
conv011_16,0,0
conv011_17,0,0
conv011_18,0,0
conv011_19,0,0
conv011_20,0,0
conv011_21,0,0
conv011_22,0,0
conv011_23,0,0
conv011_24,0,0
conv011_25,0,0
conv011_26,0,0
conv011_27,0,0
conv011_28,0,0
conv011_29,0,0
conv011_30,0,0
conv011_31,0,0
conv011_32,0,0
conv011_33,0,0
conv011_34,0,0
conv011_35,0,0
conv011_36,0,0
conv011_37,0,0
conv011_38,0,0
conv011_39,0,0
conv011_40,0,0
conv011_41,0,0
conv011_42,0,0
conv011_43,0,0
conv011_44,0,0
conv011_45,0,0
conv011_46,0,0
conv011_47,0,0
conv011_48,0,0
conv011_49,0,0
conv011_50,0,0
conv011_51,0,0
conv012_0,0,0
conv012_1,0,0
conv012_2,0,0
conv012_3,0,0
conv012_4,0,0
conv012_5,0,0
conv012_6,0,0
conv012_7,0,0
conv012_8,0,0
conv012_9,0,0
conv012_10,0,0
conv012_11,0,0
conv012_12,0,0
conv012_13,0,0
conv012_14,0,0
conv012_15,0,0
conv012_16,0,0
conv012_17,0,0
conv012_18,0,0
conv012_19,0,0
conv012_20,0,0
conv012_21,0,0
conv012_22,0,0
conv012_23,0,0
conv012_24,0,0
conv012_25,0,0
conv012_26,0,0
conv012_27,0,0
conv012_28,0,0
conv012_29,0,0
conv012_30,0,0
conv012_31,0,0
conv012_32,0,0
conv012_33,0,0
conv012_34,0,0
conv012_35,0,0
conv012_36,0,0
conv012_37,0,0
conv012_38,0,0
conv012_39,0,0
conv012_40,0,0
conv012_41,0,0
conv012_42,0,0
conv012_43,0,0
conv012_44,0,0
conv012_45,0,0
conv012_46,0,0
conv013_0,0,0
conv013_1,0,0
conv013_2,0,0
conv013_3,0,0
conv013_4,0,0
conv013_5,0,0
conv013_6,0,0
conv013_7,0,0
conv013_8,0,0
conv013_9,0,0
conv013_10,0,0
conv013_11,0,0
conv013_12,0,0
conv013_13,0,0
conv013_14,0,0
conv013_15,0,0
conv013_16,0,0
conv013_17,0,0
conv013_18,0,0
conv013_19,0,0
conv013_20,0,0
conv013_21,0,0
conv013_22,0,0
conv013_23,0,0
conv013_24,0,0
conv013_25,0,0
conv013_26,0,0
conv013_27,0,0
conv013_28,0,0
conv013_29,0,0
conv013_30,0,0
conv013_31,0,0
conv013_32,0,0
conv013_33,0,0
conv013_34,0,0
conv013_35,0,0
conv013_36,0,0
conv013_37,0,0
conv013_38,0,0
conv013_39,0,0
conv013_40,0,0
conv013_41,0,0
conv013_42,0,0
conv013_43,0,0
conv013_44,0,0
conv013_45,0,0
conv013_46,0,0
conv014_0,0,0
conv014_1,0,0
conv014_2,0,0
conv014_3,0,0
conv014_4,0,0
conv014_5,0,0
conv014_6,0,0
conv014_7,0,0
conv014_8,0,0
conv014_9,0,0
conv014_10,0,0
conv014_11,0,0
conv014_12,0,0
conv014_13,0,0
conv014_14,0,0
conv014_15,0,0
conv014_16,0,0
conv014_17,0,0
conv014_18,0,0
conv014_19,0,0
conv014_20,0,0
conv014_21,0,0
conv014_22,0,0
conv014_23,0,0
conv014_24,0,0
conv014_25,0,0
conv014_26,0,0
conv014_27,0,0
conv014_28,0,0
conv014_29,0,0
conv014_30,0,0
conv014_31,0,0
conv014_32,0,0
conv014_33,0,0
conv014_34,0,0
conv014_35,0,0
conv015_0,0,0
conv015_1,0,0
conv015_2,0,0
conv015_3,0,0
conv015_4,0,0
conv015_5,0,0
conv015_6,0,0
conv015_7,0,0
conv015_8,0,0
conv015_9,0,0
conv015_10,0,0
conv015_11,0,0
conv015_12,0,0
conv015_13,0,0
conv015_14,0,0
conv015_15,0,0
conv015_16,0,0
conv015_17,0,0
conv015_18,0,0
conv015_19,0,0
conv015_20,0,0
conv015_21,0,0
conv015_22,0,0
conv015_23,0,0
conv015_24,0,0
conv015_25,0,0
conv015_26,0,0
conv015_27,0,0
conv015_28,0,0
conv015_29,0,0
conv015_30,0,0
conv016_0,0,0
conv016_1,0,0
conv016_2,0,0
conv016_3,0,0
conv016_4,0,0
