,79bd5,f6bf0
sci019_4,0,0
sci019_5,0,0
sci019_6,0,0
sci019_7,0,0
sci019_8,0,0
sci019_9,0,0
sci019_10,0,0
sci019_11,0,0
sci019_12,0,0
sci019_13,0,0
sci019_14,0,0
sci019_15,0,0
sci019_16,0,0
sci019_17,0,0
sci019_18,0,0
sci019_19,0,0
sci019_20,0,0
sci019_21,0,0
sci019_22,0,0
sci019_23,0,0
sci019_24,0,0
sci019_25,0,0
sci019_26,0,0
sci019_27,0,0
sci019_28,0,0
sci019_29,0,0
sci019_30,0,0
sci019_31,0,0
sci019_32,0,0
sci019_33,0,0
sci019_34,0,0
sci019_35,0,0
sci019_36,0,0
sci019_37,0,0
sci019_38,0,0
sci019_39,0,0
sci020_0,0,0
sci020_1,0,0
sci020_2,0,0
sci020_3,0,0
sci020_4,0,0
sci020_5,0,0
sci020_6,0,0
sci020_7,0,0
sci020_8,0,0
sci020_9,0,0
sci020_10,0,0
sci020_11,0,0
sci020_12,0,0
sci020_13,0,0
sci020_14,0,0
sci020_15,0,0
sci020_16,0,0
sci020_17,0,0
sci020_18,0,0
sci020_19,0,0
sci020_20,0,0
sci020_21,0,0
sci020_22,0,0
sci020_23,0,0
sci020_24,0,0
sci020_25,0,0
sci020_26,0,0
sci020_27,0,0
sci020_28,0,0
sci020_29,0,0
sci020_30,0,0
sci020_31,0,0
sci020_32,0,0
sci020_33,0,0
sci020_34,0,0
sci020_35,0,0
sci020_36,0,0
sci020_37,0,0
sci020_38,0,0
sci020_39,0,0
sci020_40,0,0
sci020_41,0,0
